R000237/S002950/P025075	بر اساس یک گزارش پزشکی تعداد بیماران ایدز در هند هر چهارده ماه دو برابر می‌شود	B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N E | AH E Y D Z | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | D O | B A R AA B A R | M I SH A V A D	SIL | B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N | AH E Y D Z | SIL | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | SIL | D O | B A R AA B A R | SIL | M I SH A V A D
R000237/S002952/P025111	این حالت‌ها به طور هم‌زمان شرایطی را روی سیستم اعمال می‌کنند	AH I N | H AA L A T H AA | B E | T O R E | H A M Z A M AA N | SH A R AA Y E T I | R AA | R U Y E | S I S T E M | AH A AH M AA L | M I K O N A N D	SIL | AH I N | H AA L A T H AA | B E | T O R E | H A M Z A M AA N | SH A R AA Y E T I | R AA | R U Y E | S I S T E M | AH E AH M AA L | M I K O N A N D | SIL
R000237/S002952/P025112	در نوزده ژوییه یک هزار و نهصد و چهل و هفت حزب کنفرانس مسلمانان در قطعنامه‌ای خواستار الحاق کشمیر به پاکستان گردید	D A R | N U Z D A H | ZH U Y I Y E Y E | Y E K | H E Z AA R | V A | N O H S A D | V A | CH E H E L | V A | H A F T | H E Z B E | K O N F E R AA N S E | M O S A L M AA N AA N | D A R | Q A T AH N AA M E AH I | KH AA S T AA R E | AH E L H AA Q E | K A SH M I R | B E | P AA K E S T AA N | G A R D I D	SIL | D A R | N U Z D A H E | ZH U Y I Y E Y E | Y E K | H E Z AA R E | V E | SIL | N O H S A D | V E | SIL | CH E H E L | V SIL | H A F T | SIL | H E Z B E | SIL | K O N F E R AA N S E | M O S A L M AA N AA N | D A R | Q A T AH N AA M E AH I | KH AA S T AA R E | AH E L H AA Q E | SIL | K E SH M I R | B E | P AA K E S T AA N | G A R D I D | SIL
R000237/S002952/P025113	در صورتی که بیماری شخص جدی باشد این دستگاه به طور مستقیم با پزشک یا بیمارستانی که با آن در ارتباط است تماس می‌گیرد و موقعیت بیمار را اطلاع می‌دهد	D A R | S U R A T I | K E | B I M AA R I Y E | SH A KH S | J E D D I | B AA SH A D | AH I N | D A S T G AA H | B E | T O R E | M O S T A Q I M | B AA | P E Z E SH K | Y AA | B I M AA R E S T AA N I | K E | B AA | AH AA N | D A R | AH E R T E B AA T | AH A S T | T A M AA S | M I G I R A D | V A | M O Q E AH I Y Y A T E | B I M AA R | R AA | AH E T T E L AA AH | M I D A H A D	SIL | D A R | S U R A T I | K E | B I M AA R I Y E | SH A KH S | J E D D I | B AA SH A D | AH I N | D A S T G AA H | B E | T O R E | M O S T A Q I M | B AA | P E Z E SH K | Y AA | B I M AA R E S T AA N I | K E | B AA | AH AA N | D A R | AH E R T E B AA T | AH A S T | T A M AA S | M I G I R A D | SIL | V A | M O Q E AH I Y Y A T E | B I M AA R | R AA | SIL | AH E T T E L AA AH | SIL | M I D A H A D | SIL
R000237/S002952/P025114	خدمات که مشتمل بر مراقبت از کودک است در زمان کودکی به کالاها تفکیک می‌شود و سپس کالاها نیز با پول متمایز می‌شود	KH A D A M AA T | K E | M O SH T A M E L | B A R | M O R AA Q E B A T | AH A Z | K U D A K | AH A S T | D A R | Z A M AA N E | K U D A K I | B E | K AA L AA H AA | T A F K I K | M I SH A V A D | V A | S E P A S | K AA L AA H AA | N I Z | B AA | P U L | M O T A M AA Y E Z | M I SH A V A D	SIL | KH A D A M AA T | K E | M O SH T A M E L | B A R | M O R AA Q E B A T | AH A Z | K U D A K E | AH A S T | D A R | Z A M AA N E | K U D A K I | B E H | SIL | K AA L AA H AA | SIL | T A F K I K | M I SH A V A D | V A | S E P A S | K AA L AA H AA | N I Z | B AA | P U L | M O T E M AA Y E Z | M I SH A V A D | SIL
R000237/S002952/P025115	تیم کشتی آزاد جوانان ایران وارد فرانسه شد	T I M E | K O SH T I Y E | AH AA Z AA D E | J A V AA N AA N E | AH I R AA N | V AA R E D E | F A R AA N S E | SH O D	SIL | T I M E | K O SH T I Y E | AH AA Z AA D E | J A V AA N AA N | AH I R AA N | V AA R E D E | F A R AA N S E | SH O D | SIL
R000237/S002952/P025116	استقلال قهرمان مسابقات فوتبال جوانان کردکوی شد	AH E S T E Q L AA L | Q A H R E M AA N E | M O S AA B E Q AA T E | F U T B AA L E | J A V AA N AA N E | K O R D K U Y | SH O D	SIL | AH E S T E Q L AA L | SIL | Q A H R E M AA N E | M O S AA B E Q AA T E | F U T B AA L E | J A V AA N AA N E | SIL | K O R D K U Y | SH O D | SIL
R000237/S002952/P025117	در هر مؤسسه تجزیه و تحلیل معاملات و نوشتن دفتر روزنامه معمولاً بر اساس فهرست حساب‌های دفتر کل انجام می‌شود	D A R | H A R | M O AH A S S E S E | T A J Z I Y E | V A | T A H L I L E | M O AH AA M E L AA T | V A | N E V E SH T A N E | D A F T A R E | R U Z N AA M E | M A AH M U L A N | B A R | AH A S AA S E | F E H R E S T E | H E S AA B H AA Y E | D A F T A R E | K O L L | AH A N J AA M | M I SH A V A D	SIL | D A R | H A R | M O AH A S S E S E | T A J Z I Y E | V A | T A H L I L E | M O AH AA M E L AA T | V A | N E V E SH T A N E | D A F T A R E | R U Z N AA M E | M A AH M U L A N | B A R | AH A S AA S E | F E H R E S T E | SIL | H E S AA B H AA Y E | D A F T A R E | K O L | AH A N J AA M | M I SH A V A D | SIL
R000237/S002952/P025118	اما آن روز شاید دیگر به درد تو نخورد	AH A M M AA | AH AA N | R U Z | SH AA Y A D | D I G A R | B E | D A R D E | T O | N A KH O R D	SIL | AH A M M AA | AH AA N | R U Z | SIL | SH AA Y A D | D I G A R | B E | D A R D E | T O | SIL | N A KH O R A D | SIL
R000237/S002952/P025119	نواز شریف گفت که سخنان زیادی دارد که باید در موقع مناسب بیان کند	N A V AA Z | SH A R I F | G O F T | K E | S O KH A N AA N E | Z I Y AA D I | D AA R A D | K E | B AA Y A D | D A R | M O Q E AH E | M O N AA S E B | B A Y AA N | K O N A D	SIL | N A V AA Z | SH A R I F | SIL | G O F T | K E H | SIL | S O KH A N AA N E | Z I Y AA D I | D AA R A D | K E H | SIL | B AA Y A D | D A R | M O Q E AH E | M O N AA S E B | B A Y AA N | K O N A D | SIL
R000237/S002952/P025120	قرار بود در دانشگاه تبریز مراسمی برگزار شود که یکی دو بار به تأخیر افتاد و یک بار به دلیل کسالت استاد بود	Q A R AA R | B U D | D A R | D AA N E SH G AA H E | T A B R I Z | M A R AA S E M I | B A R G O Z AA R | SH A V A D | K E | Y E K I | D O | B AA R | B E | T A AH KH I R | AH O F T AA D | V A | Y E K | B AA R | B E | D A L I L E | K E S AA L A T E | AH O S T AA D | B U D	SIL | Q A R AA R | B U D | D A R | D AA N E SH G AA H E | T A B R I Z | M A R AA S E M I | B A R G O Z AA R | SH A V A D | K E | Y E K I | D O | B AA R | B E | T A AH KH I R | AH O F T AA D | SIL | V A | Y E K | B AA R | B E | D A L I L E | K E S AA L A T E | AH O S T AA D | B U D | SIL
R000237/S002952/P025121	چندی پیش از رادیو شنیدم که یکی از قاضیها در انگلستان بیشترین سخت‌گیری را درباره متخلفان رانندگی روا می‌دارد زیرا بر این باور است که تخلف در رانندگی تجاوز به حق دیگری است	CH A N D I | P I SH | AH A Z | R AA D I Y O | SH E N I D A M | K E | Y E K I | AH A Z | Q AA Z I H AA | D A R | AH E N G E L E S T AA N | B I SH T A R I N | S A KH T G I R I | R AA | D A R B AA R E Y E | M O T E KH A L L E F AA N E | R AA N A N D E G I | R A V AA | M I D AA R A D | Z I R AA | B A R | AH I N | B AA V A R | AH A S T | K E | T A KH A L L O F | D A R | R AA N A N D E G I | T A J AA V O Z | B E | H A Q Q E | D I G A R I | AH A S T	SIL | CH A N D I | P I SH | AH A Z | R AA D I Y O | SH E N I D A M | K E | Y E K I | AH A Z | Q AA Z I H AA | D A R | AH E N G E L E S T AA N | SIL | B I SH T A R I N | S A KH T G I R I | R AA | D A R B AA R E Y E | M O T E KH A L L E F AA N E | R AA N A N D E G I | R A V AA | M I D AA R A D | SIL | Z I R AA | SIL | B A R | AH I N | B AA V A R | AH A S T | K E H | SIL | T A KH A L L O F | D A R | R AA N A N D E G I | T A J AA V O Z | B E | H A Q Q E | D I G A R I | AH A S T | SIL
R000237/S002952/P025122	همچنین در این مراسم از کانون‌های برتر فرهنگی و هنری وابسته به سازمان فرهنگی هنری شهرداری تهران تقدیر شد	H A M CH E N I N | D A R | AH I N | M A R AA S E M | AH A Z | K AA N U N H AA Y E | B A R T A R E | F A R H A N G I | V A | H O N A R I Y E | V AA B A S T E | B E | S AA Z M AA N E | F A R H A N G I | H O N A R I Y E | SH A H R D AA R I Y E | T E H R AA N | T A Q D I R | SH O D	SIL | H A M CH E N I N | SIL | D A R | AH I N | M A R AA S E M | SIL | AH A Z | K AA N U N H AA Y E | B A R T A R E | F A R H A N G I | V A | H O N A R I Y E | V AA B A S T E | B E | S AA Z M AA N E | F A R H A N G I | H O N A R I Y E | SIL | SH A H R D AA R I Y E | T E H R AA N | T A Q D I R E | SH O D | SIL
R000237/S002953/P025123	هون سن نیز برای تداوم بخشیدن به کار مین‌جمع‌کنی کوشش می‌کند اصلاحاتی را در این سازمان سرعت بخشد	H U N | S E N | N I Z | B A R AA Y E | T A D AA V O M | B A KH SH I D A N | B E | K AA R E | M I N J A M AH K O N I | K U SH E SH | M I K O N A D | AH E S L AA H AA T I | R AA | D A R | AH I N | S AA Z M AA N | S O R AH A T | B A KH SH A D	SIL | H U N | S E N N | N I Z | B A R AA Y E | T A D AA V O M | B A KH SH I D A N | B E | K AA R E | M I N J A M AH K O N I | SIL | K U SH E SH | M I K O N A D | AH E S L AA H AA T I | R AA | D A R | AH I N | S AA Z M AA N | S O R AH A T | B A KH SH A D | SIL
R000237/S002953/P025124	چای را که تا نیمه ریخته کامل می‌کند و برای پدر آرزو می‌آورد	CH AA Y | R AA | K E | T AA | N I M E | R I KH T E | K AA M E L | M I K O N A D | V A | B A R AA Y E | P E D A R E | AH AA R E Z U | M I AH AA V A R A D	SIL | CH AA Y | R AA | K E | T AA | N I M E | R I KH T E | K AA M E L | M I K O N A D | V AA V | B A R AA Y E | P E D A R E | SIL | AH AA R E Z U | M I AH AA V A R A D | SIL
R000237/S002953/P025125	مرد برخاست و سوی آبگیر رفت ماهی‌ها زیبا بودند و رفتارشان آزاد و نرم بود و آبگیر خوش روشنایی بود و همه چیز سکون سبکی داشت	M A R D E | B A R KH AA S T | V A | S U Y E | AH AA B G I R | R A F T | M AA H I H AA | Z I B AA | B U D A N D | V A | R A F T AA R E SH AA N | AH AA Z AA D | V A | N A R M | B U D | V A | AH AA B G I R | KH O SH | R O SH A N AA Y I | B U D | V A | H A M E | CH I Z | S O K U N E | S A B O K I | D AA SH T	SIL | M A R D E | B A R KH AA S T | V A | S U Y E | AH AA B G I R | R A F T | SIL | M AA H I H AA | Z I B AA | B U D A N D | V A | R A F T AA R E SH AA N | AH AA Z AA D | V A | N A R M | B U D | SIL | V A | AH AA B G I R E | KH O SH E | R O SH A N AA Y I | B U D | SIL | V A | H A M E | CH I Z | S O K U N E | S A B K I | D AA SH T | SIL
R000237/S002953/P025126	هر نوع پودر دارای بعضی خصوصیات منحصربه‌فردی است که بر خواص مکانیکی و شیمیایی فلز جوش اجرای جوشکاری و انتقال تغییرات محیطی اثر می‌گذارند	H A R | N O AH | P U D R | D AA R AA Y E | B A AH Z I | KH O S U S I Y Y AA T E | M O N H A S E R B E F A R D I | AH A S T | K E | B A R | KH A V AA S S E | M E K AA N I K I | V A | SH I M I Y AA Y I Y E | F E L E Z E | J U SH | AH E J R AA Y E | J U SH K AA R I | V A | AH E N T E Q AA L E | T A Q Y I R AA T E | M O H I T I | AH A S A R | M I G O Z AA R A N D	SIL | H A R | N O AH | P U D R E | D AA R AA Y E | B A AH Z I | KH O S U S I Y Y AA T E | M O N H A S E R B E F A R D I | AH A S T | K E | B A R | KH A V AA S S E | M E K AA N I K I | V A | SH I M I Y AA Y I Y E | F E L E Z Z E | J U SH | SIL | AH E J R AA Y E | J U SH K AA R I | V A | AH E N T E Q AA L E | T A Q Y I R AA T E | M O H I T I | AH A S A R | M I G O Z AA R A N D | SIL
R000237/S002953/P025127	چه‌بسا نقیض ادعای طرف را به عنوان حق مورد توجه قرار دهد چراکه نقیض آن ادعا بر خلاف آن بنا گردیده است	CH E B A S AA | N A Q I Z E | AH E D D E AH AA Y E | T A R A F | R AA | B E | AH O N V AA N E | H A Q Q | M O R E D E | T A V A J J O H | Q A R AA R | D A H A D | CH E R AA K E | N A Q I Z E | AH AA N | AH E D D E AH AA | B A R | KH A L AA F E | AH AA N | B A N AA | G A R D I D E | AH A S T	SIL | CH E B A S AA | N A Q I Z E | AH E D D E AH AA Y E | T A R A F | R AA | SIL | B E | AH O N V AA N E | H A Q Q | SIL | M O R E D E | T A V A J J O H | Q A R AA R | D A H A D | SIL | CH E R AA K E | N A Q I Z E | AH AA N | AH E D D E AH AA | B A R | KH A L AA F | AH AA N | SIL | B A N AA | G A R D I D E | AH A S T | SIL
R000237/S002953/P025128	حملات شدید مخالفان دولت ژوسپن به شخص وی و وزیر کشور وی هم‌زمان با محاکمه سه تن از فعالان جنبش جدایی‌طلبان کرس صورت گرفت	H A M A L AA T E | SH A D I D E | M O KH AA L E F AA N E | D O L A T E | ZH U S P E N | B E | SH A KH S E | V E Y | V A | V A Z I R E | K E SH V A R E | V E Y | H A M Z A M AA N | B AA | M O H AA K E M E Y E | S E | T A N | AH A Z | F A AH AH AA L AA N E | J O N B E SH E | J O D AA Y I T A L A B AA N E | K O R S | S U R A T | G E R E F T	SIL | H A M A L AA T E | SH A D I D E | M O KH AA L E F AA N E | D O L A T E | ZH U S P E N | SIL | B E | SH A KH S E | V E Y | V A | V A Z I R E | K E SH V A R E | V E Y | SIL | H A M Z A M AA N | B AA | M O H AA K E M E Y E | S E | T A N | AH A Z | F A AH AH AA L AA N E | J O N B E SH E | J O D AA Y I T A L A B AA N E | SIL | K O R S | SIL | S U R A T | G E R E F T | SIL
R000237/S002953/P025129	این مجمع سازمانی امریکایی است و مسئولیت ترویج فرهنگ همکاری بین‌المللی را به عهده دارد	AH I N | M A J M A AH | S AA Z M AA N I | AH E M R I K AA Y I | AH A S T | V A | M A S AH U L I Y Y A T E | T A R V I J E | F A R H A N G E | H A M K AA R I Y E | B E Y N O L M E L A L I | R AA | B E | AH O H D E | D AA R A D	SIL | AH I N | M A J M A AH | S AA Z M AA N I | AH E M R I K AA Y I | AH A S T | V A | M A S AH U L I Y Y A T E | T A R V I J E | F A R H A N G E | H A M K AA R I Y E | B E Y N O L M E L A L I | R AA | B E H | AH O H D E | D AA R A D | SIL
R000237/S002953/P025130	از ساعت پنج تا سی ده صبح ورقه آهنی محافظ پنجره را بالا می‌کشند که نوری بنفش به دیوار بتونی می‌ریزد	AH A Z | S AA AH A T E | P A N J | T AA | S I | D A H | S O B H | V A R A Q E Y E | AH AA H A N I Y E | M O H AA F E Z E | P A N J A R E | R AA | B AA L AA | M I K E SH A N D | K E | N U R I | B A N A F SH | B E | D I V AA R E | B E T O N I | M I R I Z A D	SIL | AH A Z | S AA AH A T E | P A N J | T AA | S I | SIL | D A H E | S O B H | SIL | V A R A Q E Y E | AH AA H A N I Y E | M O H AA F E Z E | SIL | P A N J A R E | R AA | B AA L AA | M I K E SH A N D | K E | N U R I | B A N A F SH | B E | D I V AA R E | B E T O N I | SIL | M I R I Z A D | SIL
R000237/S002953/P025131	این ویژگی کار مدیران این مجموعه را مشکل‌تر می‌کند	AH I N | V I ZH E G I | K AA R E | M O D I R AA N E | AH I N | M A J M U AH E | R AA | M O SH K E L T A R | M I K O N A D	AH I N | V I ZH E G I | SIL | K AA R E | M O D I R AA N E | AH I N | M A J M U AH E | R AA | M O SH K E L T A R | M I K O N A D | SIL
R000237/S002953/P025132	همچنین سه تن از سرنشینان دو خودرو نیز در این سانحه مجروح شدند که حال آنها وخیم گزارش شده است	H A M CH E N I N | S E | T A N | AH A Z | S A R N E SH I N AA N E | D O | KH O D R O | N I Z | D A R | AH I N | S AA N E H E | M A J R U H | SH O D A N D | K E | H AA L E | AH AA N H AA | V A KH I M | G O Z AA R E SH | SH O D E | AH A S T	SIL | H A M CH E N I N | S E | T A N | AH A Z | S A R N E SH I N AA N E | D O | KH O D R O | N I Z | D A R | AH I N | S AA N E H E | M A J R U H | SH O D A N D | SIL | K E H | H AA L | AH AA N H AA | V A KH I M E | SIL | G O Z AA R E SH | SH O D E | AH A S T | SIL
R000237/S002953/P025133	در اروپای شرقی قبل از جنگ دوم جهانی پوپولیسم جنبش دهقانی بود	D A R | AH O R U P P AA Y E | SH A R Q I | Q A B L | AH A Z | J A N G E | D O V V O M E | J A H AA N I | P U P U L I S M | J O N B E SH E | D E H Q AA N I | B U D	SIL | D A R | AH O R U P AA Y E | SH A R Q I | SIL | Q A B L | AH A Z | J A N G E | D O V V O M E | J A H AA N I | SIL | P O P O L I S M | J O N B E SH E | D E H Q AA N I | B U D | SIL
R000237/S002953/P025134	از طرف دیگر جهان توسعه‌یافته معتقد است که سازمان ملل به حد کافی فعال نبوده و باید بیش از این منافع آنها را تأمین نماید	AH A Z | T A R A F E | D I G A R | J A H AA N E | T O S E AH E Y AA F T E | M O AH T A Q E D | AH A S T | K E | S AA Z M AA N E | M E L A L | B E | H A D D E | K AA F I | F A AH AH AA L | N A B U D E | V A | B AA Y A D | B I SH | AH A Z | AH I N | M A N AA F E AH E | AH AA N H AA | R AA | T A AH M I N | N A M AA Y A D	SIL | AH A Z | T A R A F E | D I G A R | J A H AA N E | T O S E AH E Y AA F T E | M O AH T A Q E D | AH A S T | K E H | SIL | S AA Z M AA N E | M E L A L | B E | H A D D E | K AA F I | F A AH AH AA L | N A B U D E | SIL | V AA V | B AA Y A D | B I SH | AH A Z | AH I N | M A N AA F E AH | AH AA N H AA | R AA | T A AH M I N | N A M AA Y A D | SIL
R000237/S002953/P025135	کارشناسان میراث فرهنگی پس از حضور در محل اقدامات اولیه تعمیرات بخش تخریب‌شده را آغاز کرده‌اند	K AA R SH E N AA S AA N E | M I R AA S E | F A R H A N G I | P A S | AH A Z | H O Z U R | D A R | M A H A L L | AH E Q D AA M AA T E | AH A V V A L I Y Y E Y E | T A AH M I R AA T E | B A KH SH E | T A KH R I B SH O D E | R AA | AH AA Q AA Z | K A R D E AH A N D	SIL | K AA R SH E N AA S AA N E | M I R AA S E | F A R H A N G I | P A S | AH A Z | H O Z U R | D A R | M A H A L | SIL | AH E Q D AA M AA T E | AH A V V A L I Y Y E | T A AH M I R AA T E | B A KH SH E | T A KH R I B SH O D E | R AA | AH AA Q AA Z | K A R D E AH A N D | SIL
R000237/S002953/P025136	خرید سه کشتی زیردریایی از آلمان برای ارتش مجهز رژیم صهیونیستی هر یک سیصد میلیون دلار خرج داشت که جمعاً نهصد میلیون دلار هزینه خرید کشتی‌ها شده است	KH A R I D E | S E | K E SH T I Y E | Z I R D A R Y AA Y I | AH A Z | AH AA L M AA N | B A R AA Y E | AH A R T E SH E | M O J A H H A Z E | R E ZH I M E | S E H Y O N I S T I | H A R | Y E K | S I S A D | M I L Y U N | D O L AA R | KH A R J | D AA SH T | K E | J A M AH A N | N O H S A D | M I L Y U N | D O L AA R | H A Z I N E Y E | KH A R I D E | K E SH T I H AA | SH O D E | AH A S T	SIL | KH A R I D E | S E | K E SH T I Y E | SIL | Z I R D A R Y AA Y I | AH A Z | AH AA L M AA N | B A R AA Y E | AH A R T E SH E | M O J A H H A Z E | R E ZH I M E | S E H Y O N I S T I | H A R | Y E K | S I S A D | M I L Y U N | D O L AA R E | SIL | KH A R J | D AA SH T | SIL | K E H | J A M AH A N | N O H S A D | M I L Y U N | D O L AA R | H A Z I N E Y E | KH A R I D E | SIL | K E SH T I H AA | SH O D E | AH A S T | SIL
